institution,state,division,year,partic_total,recruit_total,recruit_per_athlete,aid_total,aid_per_athlete,vs_division_median
Tarleton State University,TX,NCAA D1 (FCS),2024,424,652225,1538.2665094339623,6250349,14741.389150943396,2.1823309820598014
Temple College,TX,2-Year (JUCO),2024,108,28564,264.48148148148147,576817,5340.898148148148,27.77518475301439
Texas A&M University-Kingsville,TX,NCAA D2,2024,434,143518,330.68663594470047,2610821,6015.716589861751,2.63377744773336
Texas A&M University-College Station,TX,NCAA D1 (FBS),2024,626,4898792,7825.546325878594,13321846,21280.904153354633,2.1747688883647625
The University of Texas at Arlington,TX,NCAA D1 (No Football),2024,246,287097,1167.060975609756,3584344,14570.50406504065,1.4923215107862706
The University of Texas at Austin,TX,NCAA D1 (FBS),2024,564,5755764,10205.255319148937,16217249,28753.987588652482,2.836105089878479
The University of Texas at Dallas,TX,NCAA D2,2024,247,45753,185.23481781376518,250000,1012.1457489878543,1.4753160021092495
The University of Texas at El Paso,TX,NCAA D1 (FBS),2024,360,773900,2149.722222222222,7745565,21515.458333333332,0.5974214211798635
The University of Texas at Tyler,TX,NCAA D2,2024,373,144070,386.24664879356567,2576571,6907.697050938338,3.076289158008787
Texas Christian University,TX,NCAA D1 (FBS),2024,553,2358075,4264.150090415913,25129476,45442.090415913204,1.1850343178325191
Texas College,TX,NAIA,2024,208,0,0.0,1033591,4969.1875,0.0
Texas Lutheran University,TX,NCAA D3,2024,514,11680,22.723735408560312,0,0.0,0.201064717083161
The University of Texas Permian Basin,TX,NCAA D2,2024,372,67998,182.79032258064515,2597297,6981.981182795699,1.4558466443661084
The University of Texas at San Antonio,TX,NCAA D1 (FBS),2024,368,802446,2180.5597826086955,7528225,20457.133152173912,0.6059913745260974
Texas Southern University,TX,NCAA D1 (FCS),2024,435,91845,211.13793103448276,3834679,8815.354022988506,0.29954032383771295
Texas Tech University,TX,NCAA D1 (FBS),2024,437,2950060,6750.70938215103,7773958,17789.37757437071,1.8760648940437865
Texas Wesleyan University,TX,NAIA,2024,501,23948,47.800399201596804,4146542,8276.530938123753,0.7653772980306067
Texas Woman's University,TX,NCAA D2,2024,183,21839,119.33879781420765,1074448,5871.3005464480875,0.9504824209927629
Trinity University,TX,NCAA D3,2024,635,0,0.0,0,0.0,0.0
Tyler Junior College,TX,2-Year (JUCO),2024,293,28929,98.73378839590444,2028785,6924.180887372014,10.368775910888449
Vernon College,TX,2-Year (JUCO),2024,104,13455,129.375,660853,6354.3557692307695,13.586639439906651
Victoria College,TX,2-Year (JUCO),2024,8,0,0.0,0,0.0,0.0
Wayland Baptist University,TX,NAIA,2024,628,47423,75.51433121019109,3564025,5675.199044585987,1.2091312154211804
Weatherford College,TX,2-Year (JUCO),2024,226,54682,241.95575221238937,2382098,10540.256637168142,25.409588913786514
West Texas A & M University,TX,NCAA D2,2024,432,205692,476.1388888888889,3108559,7195.738425925926,3.792242356458835
Western Texas College,TX,2-Year (JUCO),2024,216,79680,368.8888888888889,1063022,4921.398148148148,38.739789964994166
Wharton County Junior College,TX,2-Year (JUCO),2024,81,11046,136.37037037037038,479063,5914.358024691358,14.321275768183588
Wiley University,TX,NAIA,2024,277,31299,112.9927797833935,674003,2433.2238267148014,1.8092340217253267
Brigham Young University,UT,NCAA D1 (FBS),2024,620,3225491,5202.404838709677,9391965,15148.33064516129,1.445781254976323
Utah Tech University,UT,NCAA D1 (FCS),2024,366,284457,777.2049180327868,3859512,10545.11475409836,1.102616719294189
Snow College,UT,2-Year (JUCO),2024,363,16073,44.27823691460055,896527,2469.771349862259,4.649989874345448
Southern Utah University,UT,NCAA D1 (FCS),2024,369,254497,689.6937669376694,5213640,14129.105691056911,0.978465088130571
Utah State University,UT,NCAA D1 (FBS),2024,385,974401,2530.9116883116885,7489322,19452.784415584414,0.7033563881331991
Utah Valley University,UT,NCAA D1 (No Football),2024,368,357233,970.741847826087,3871010,10519.048913043478,1.2412881342162942
Salt Lake Community College,UT,2-Year (JUCO),2024,195,10856,55.67179487179487,2161576,11085.005128205128,5.846512880351853
University of Utah,UT,NCAA D1 (FBS),2024,517,2376960,4597.601547388781,16643646,32192.738878143133,1.2777025896957077
Weber State University,UT,NCAA D1 (FCS),2024,418,359767,860.6866028708134,5630323,13469.672248803829,1.2210517668878702
Westminster University,UT,NCAA D2,2024,254,18676,73.5275590551181,1437461,5659.295275590551,0.585615521694796
Middlebury College,VT,NCAA D3,2024,768,218616,284.65625,0,0.0,2.518702464324711
Norwich University,VT,NCAA D3,2024,603,93676,155.34991708126037,0,0.0,1.3745709745885082
Saint Michael's College,VT,NCAA D2,2024,458,96042,209.6986899563319,3694732,8067.100436681223,1.670160267736299
Vermont State University,VT,Other,2024,797,63532,79.71392722710164,0,0.0,inf
University of Vermont,VT,NCAA D1 (No Football),2024,470,372413,792.368085106383,8028148,17081.165957446807,1.0132015058141894
Averett University,VA,NCAA D3,2024,489,63467,129.78936605316974,0,0.0,1.1484054754506905
Bluefield University,VA,NAIA,2024,375,16930,45.14666666666667,5056884,13485.024,0.7228858822431651
Bridgewater College,VA,NCAA D3,2024,546,105874,193.9084249084249,0,0.0,1.7157453162197316
William & Mary,VA,NCAA D1 (FCS),2024,543,322693,594.2780847145488,10825364,19936.213627992634,0.8430993382992814
Regent University,VA,Other,2024,113,7465,66.06194690265487,0,0.0,inf
Christopher Newport University,VA,NCAA D3,2024,566,43424,76.72084805653711,0,0.0,0.6788433033354502
Bryant & Stratton College-Virginia Beach,VA,2-Year (JUCO),2024,132,21658,164.07575757575756,1374295,10411.325757575758,17.230826349846186
Emory & Henry University,VA,NCAA D2,2024,557,67084,120.43806104129264,4015996,7210.046678635547,0.9592375818668878
Eastern Mennonite University,VA,NCAA D3,2024,265,25675,96.88679245283019,0,0.0,0.8572761107878721
Ferrum College,VA,NCAA D3,2024,420,88948,211.78095238095239,0,0.0,1.873885455383253
George Mason University,VA,NCAA D1 (No Football),2024,493,525588,1066.1014198782962,7723356,15666.036511156186,1.3632244713974202
Hampton University,VA,NCAA D1 (FCS),2024,376,449317,1194.9920212765958,7339035,19518.71010638298,1.6953291873368552
James Madison University,VA,NCAA D1 (FCS),2024,492,1073274,2181.451219512195,10949879,22255.85162601626,3.094813904480948
Liberty University,VA,NCAA D1 (FBS),2024,551,1443640,2620.036297640653,11114877,20172.19056261343,0.7281246815512993
Longwood University,VA,NCAA D1 (No Football),2024,306,192145,627.9248366013072,5569421,18200.722222222223,0.8029278335928376
University of Lynchburg,VA,NCAA D3,2024,575,67852,118.00347826086957,0,0.0,1.0441212918899188
Mary Baldwin University,VA,NCAA D3,2024,199,27596,138.67336683417085,0,0.0,1.227013110660422
University of Mary Washington,VA,NCAA D3,2024,495,37885,76.53535353535354,0,0.0,0.6772020061300531
Marymount University,VA,NCAA D3,2024,432,30489,70.57638888888889,0,0.0,0.6244757479155423
Norfolk State University,VA,NCAA D1 (FCS),2024,367,148616,404.9482288828338,5056903,13779.027247956403,0.5744980213776086
Old Dominion University,VA,NCAA D1 (FBS),2024,480,986841,2055.91875,11869200,24727.5,0.5713528421293684
Patrick & Henry Community College,VA,2-Year (JUCO),2024,136,0,0.0,0,0.0,0.0
Paul D Camp Community College,VA,2-Year (JUCO),2024,54,0,0.0,0,0.0,0.0
Radford University,VA,NCAA D1 (No Football),2024,288,177702,617.0208333333334,2802659,9731.454861111111,0.7889848786225719
Randolph-Macon College,VA,NCAA D3,2024,554,50974,92.01083032490975,0,0.0,0.8141325022159641
Randolph College,VA,NCAA D3,2024,65,54382,836.6461538461539,0,0.0,7.402833169691863
Richard Bland College,VA,2-Year (JUCO),2024,172,5597,32.5406976744186,713054,4145.662790697675,3.4173428129494448
University of Richmond,VA,NCAA D1 (FCS),2024,430,639124,1486.3348837209303,13942388,32424.158139534884,2.108655845113612
Roanoke College,VA,NCAA D3,2024,519,85905,165.52023121387282,0,0.0,1.46456019937724
Shenandoah University,VA,NCAA D3,2024,618,66523,107.64239482200647,0,0.0,0.9524440974122339
Southern Virginia University,VA,NCAA D3,2024,645,52095,80.76744186046511,69613,107.92713178294574,0.7146484746115931
Southwest Virginia Community College,VA,2-Year (JUCO),2024,158,0,0.0,345443,2186.3481012658226,0.0
Virginia Peninsula Community College,VA,2-Year (JUCO),2024,80,0,0.0,0,0.0,0.0
University of Virginia's College at Wise,VA,NCAA D2,2024,340,49588,145.8470588235294,1607644,4728.364705882353,1.1616093684895357
Virginia Polytechnic Institute and State University,VA,NCAA D1 (FBS),2024,618,3381526,5471.724919093851,20853299,33743.202265372165,1.5206270110987414
Virginia Commonwealth University,VA,NCAA D1 (No Football),2024,313,498226,1591.776357827476,8438150,26958.94568690096,2.035405303399735
University of Virginia-Main Campus,VA,NCAA D1 (FBS),2024,789,2910628,3689.0088719898604,25330327,32104.343472750315,1.025198930479068
Virginia Military Institute,VA,NCAA D1 (FCS),2024,429,140541,327.6013986013986,6815074,15885.95337995338,0.464766461175203
Virginia University of Lynchburg,VA,Other,2024,132,6400,48.484848484848484,70251,532.2045454545455,inf
Virginia State University,VA,NCAA D2,2024,163,15344,94.13496932515338,2098153,12872.104294478528,0.7497447199321388
Virginia Union University,VA,NCAA D2,2024,285,30046,105.42456140350878,1874347,6576.656140350877,0.8396614863752012
Virginia Wesleyan University,VA,NCAA D3,2024,449,45721,101.82850779510022,0,0.0,0.9010015185755696
Washington and Lee University,VA,NCAA D3,2024,588,37454,63.697278911564624,0,0.0,0.5636078370502536
Bellevue College,WA,Other,2024,169,0,0.0,223813,1324.3372781065088,
Big Bend Community College,WA,Other,2024,164,14000,85.36585365853658,203194,1238.9878048780488,inf
Central Washington University,WA,NCAA D2,2024,415,63450,152.89156626506025,2901501,6991.568674698795,1.2177158536424355
Centralia College,WA,Other,2024,141,8934,63.361702127659576,187956,1333.0212765957447,inf
Clark College,WA,Other,2024,212,0,0.0,300885,1419.2688679245282,
Columbia Basin College,WA,Other,2024,166,15810,95.24096385542168,322058,1940.1084337349398,inf
Eastern Washington University,WA,NCAA D1 (FCS),2024,318,420093,1321.0471698113208,4826207,15176.751572327044,1.8741629943581803
Edmonds College,WA,Other,2024,148,354,2.391891891891892,164284,1110.027027027027,inf
Everett Community College,WA,Other,2024,149,0,0.0,206511,1385.979865771812,
The Evergreen State College,WA,NAIA,2024,211,16500,78.19905213270142,247774,1174.2843601895734,1.2521188155240799
Pierce College District,WA,Other,2024,125,1759,14.072,152006,1216.048,inf
Gonzaga University,WA,NCAA D1 (No Football),2024,373,854925,2292.024128686327,7496332,20097.404825737267,2.9308125127675395
Grays Harbor College,WA,Other,2024,63,0,0.0,82057,1302.4920634920634,
Green River College,WA,Other,2024,77,0,0.0,83732,1087.4285714285713,
Highline College,WA,Other,2024,122,0,0.0,191211,1567.3032786885246,
Lower Columbia College,WA,Other,2024,120,3434,28.616666666666667,121066,1008.8833333333333,inf
Northwest University,WA,NAIA,2024,151,10054,66.58278145695364,1231798,8157.602649006622,1.0661197441460526
Olympic College,WA,Other,2024,125,0,0.0,92175,737.4,
Pacific Lutheran University,WA,NCAA D3,2024,391,33847,86.56521739130434,0,0.0,0.7659484953106864
Peninsula College,WA,Other,2024,78,14043,180.03846153846155,120908,1550.1025641025642,inf
University of Puget Sound,WA,NCAA D3,2024,437,43572,99.7070938215103,0,0.0,0.882230771040134
Saint Martin's University,WA,NCAA D2,2024,222,17042,76.76576576576576,2369390,10672.927927927927,0.6114064514710718
Seattle Pacific University,WA,NCAA D2,2024,168,32537,193.67261904761904,2005693,11938.64880952381,1.5425194756777953
Seattle University,WA,NCAA D1 (No Football),2024,317,315438,995.0725552050474,7714905,24337.23974763407,1.272399823110954
Shoreline Community College,WA,Other,2024,107,0,0.0,62998,588.7663551401869,
Skagit Valley College,WA,Other,2024,151,5571,36.89403973509934,174276,1154.1456953642385,inf
South Puget Sound Community College,WA,Other,2024,93,3880,41.72043010752688,141178,1518.0430107526881,inf
Spokane Falls Community College,WA,Other,2024,254,16009,63.02755905511811,399611,1573.2716535433071,inf
Tacoma Community College,WA,Other,2024,110,0,0.0,156108,1419.1636363636364,
Walla Walla Community College,WA,Other,2024,174,13500,77.58620689655173,302181,1736.6724137931035,inf
Walla Walla University,WA,NAIA,2024,155,0,0.0,483968,3122.374193548387,0.0
Washington State University,WA,NCAA D1 (FBS),2024,455,1655562,3638.597802197802,11226621,24673.89230769231,1.011189374896935
University of Washington-Seattle Campus,WA,NCAA D1 (FBS),2024,619,3345720,5405.040387722132,18603974,30054.885298869143,1.5020949574729372
Wenatchee Valley College,WA,Other,2024,150,2558,17.053333333333335,259102,1727.3466666666666,inf
Western Washington University,WA,NCAA D2,2024,297,34166,115.03703703703704,1932955,6508.2659932659935,0.9162207385147612
Whatcom Community College,WA,Other,2024,96,0,0.0,140879,1467.4895833333333,
Whitman College,WA,NCAA D3,2024,274,61601,224.82116788321167,0,0.0,1.98926821237828
Whitworth University,WA,NCAA D3,2024,530,56086,105.82264150943396,0,0.0,0.9363425111908198
Yakima Valley College,WA,Other,2024,102,0,0.0,161953,1587.7745098039215,
Appalachian Bible College,WV,Other,2024,43,0,0.0,0,0.0,
Bethany College,WV,NCAA D3,2024,433,38842,89.70438799076213,0,0.0,0.793724582169099
Bluefield State University,WV,NCAA D2,2024,360,15315,42.541666666666664,2378398,6606.6611111111115,0.3388261576872239
University of Charleston,WV,NCAA D2,2024,578,78709,136.17474048442907,6098883,10551.700692041522,1.0845734948261068
Concord University,WV,NCAA D2,2024,569,46534,81.78207381370827,2222590,3906.133567662566,0.6513591969753192
Davis & Elkins College,WV,NCAA D2,2024,404,22473,55.62623762376238,3312495,8199.24504950495,0.44303916224852263
Fairmont State University,WV,NCAA D2,2024,404,24365,60.30940594059406,1973883,4885.8490099009905,0.4803385924525098
Glenville State University,WV,NCAA D2,2024,474,32246,68.0295358649789,2587841,5459.5801687763715,0.541826121364372
Marshall University,WV,NCAA D1 (FBS),2024,445,809148,1818.3101123595507,7626435,17138.05617977528,0.5053198967951436
Potomac State College of West Virginia University,WV,2-Year (JUCO),2024,153,3640,23.790849673202615,294770,1926.6013071895425,2.4984556249571006
Salem University,WV,NCAA D2,2024,271,31676,116.88560885608857,2193724,8094.922509225093,0.9309438214528558
Shepherd University,WV,NCAA D2,2024,348,351034,1008.7183908045977,1377774,3959.1206896551726,8.034010026517407
West Virginia State University,WV,NCAA D2,2024,437,40141,91.8558352402746,3084967,7059.421052631579,0.7315923929233209
West Liberty University,WV,NCAA D2,2024,478,23208,48.55230125523013,2671977,5589.910041841004,0.3866982882941948
West Virginia University Institute of Technology,WV,NAIA,2024,310,13585,43.82258064516129,2578654,8318.23870967742,0.7016846914910588
West Virginia Wesleyan College,WV,NCAA D2,2024,518,54407,105.03281853281854,2359170,4554.382239382239,0.8365414221633931
West Virginia University,WV,NCAA D1 (FBS),2024,508,2412091,4748.21062992126,11152786,21954.303149606298,1.3195578076392322
Wheeling University,WV,NCAA D2,2024,478,79755,166.85146443514645,4540850,9499.68619246862,1.3289004646201097
Alverno College,WI,NCAA D3,2024,50,8317,166.34,0,0.0,1.4718136978048872
Madison Area Technical College,WI,2-Year (JUCO),2024,177,3812,21.536723163841806,110150,622.3163841807909,2.2617328876846705
Beloit College,WI,NCAA D3,2024,319,68013,213.20689655172413,0,0.0,1.8865025298262423
Blackhawk Technical College,WI,2-Year (JUCO),2024,40,0,0.0,21197,529.925,0.0
Carroll University,WI,NCAA D3,2024,542,25026,46.17343173431734,0,0.0,0.40855289949036394
Carthage College,WI,NCAA D3,2024,840,219144,260.8857142857143,0,0.0,2.308375422912868
Concordia University-Wisconsin,WI,NCAA D3,2024,664,91203,137.3539156626506,0,0.0,1.2153383102045592
Edgewood College,WI,NCAA D3,2024,349,16839,48.249283667621775,33500,95.98853868194843,0.4269205038552324
Lakeland University,WI,NCAA D3,2024,374,45236,120.95187165775401,17000,45.45454545454545,1.0702093391909406
Lawrence University,WI,NCAA D3,2024,442,91189,206.30995475113122,0,0.0,1.8254768389817326
Maranatha Baptist University,WI,NCAA D3,2024,142,10156,71.52112676056338,0,0.0,0.6328350008935726
Marian University,WI,NCAA D3,2024,370,58970,159.3783783783784,0,0.0,1.4102157053698905
Marquette University,WI,NCAA D1 (No Football),2024,329,1306233,3970.3130699088147,6513724,19798.55319148936,5.0768415040912185
Milwaukee Area Technical College,WI,2-Year (JUCO),2024,147,10512,71.51020408163265,381229,2593.394557823129,7.509823065749053
Milwaukee School of Engineering,WI,NCAA D3,2024,523,58597,112.04015296367113,0,0.0,0.9913564496578454
Northcentral Technical College,WI,2-Year (JUCO),2024,28,0,0.0,0,0.0,0.0
Ripon College,WI,NCAA D3,2024,383,43591,113.81462140992167,0,0.0,1.0070573452062048
Saint Norbert College,WI,NCAA D3,2024,590,92979,157.59152542372883,0,0.0,1.3944052289083277
Southwest Wisconsin Technical College,WI,2-Year (JUCO),2024,59,0,0.0,250,4.237288135593221,0.0
Viterbo University,WI,NAIA,2024,383,9582,25.01827676240209,906496,2366.8302872062663,0.40059123751312853
Western Technical College,WI,2-Year (JUCO),2024,121,0,0.0,0,0.0,0.0
University of Wisconsin-Whitewater,WI,NCAA D3,2024,592,3893,6.576013513513513,0,0.0,0.05818604524551661
University of Wisconsin-Eau Claire,WI,NCAA D3,2024,753,91441,121.43559096945552,0,0.0,1.0744893963561146
University of Wisconsin-Green Bay,WI,NCAA D1 (No Football),2024,258,224922,871.7906976744187,2513133,9740.82558139535,1.1147592441458976
University of Wisconsin-La Crosse,WI,NCAA D3,2024,647,48979,75.7017001545595,0,0.0,0.6698256536888243
Wisconsin Lutheran College,WI,NCAA D3,2024,457,64614,141.38730853391684,0,0.0,1.2510266766621656
University of Wisconsin-Oshkosh,WI,NCAA D3,2024,694,29367,42.315561959654175,0,0.0,0.37441760083281495
University of Wisconsin-Parkside,WI,NCAA D2,2024,313,23906,76.37699680511182,1713451,5474.284345047923,0.6083100731792066
University of Wisconsin-Stout,WI,Other,2024,568,38312,67.45070422535211,0,0.0,inf
University of Wisconsin-Superior,WI,NCAA D3,2024,349,15400,44.126074498567334,0,0.0,0.3904374226124223
University of Wisconsin-Madison,WI,NCAA D1 (FBS),2024,738,2366445,3206.5650406504064,18628785,25242.256097560974,0.8911247341113474
University of Wisconsin-Milwaukee,WI,NCAA D1 (No Football),2024,334,193429,579.1287425149701,4787332,14333.329341317365,0.7405322412722688
University of Wisconsin-Platteville,WI,NCAA D3,2024,524,60058,114.6145038167939,0,0.0,1.0141348844815907
University of Wisconsin-River Falls,WI,NCAA D3,2024,568,38069,67.02288732394366,0,0.0,0.5930335675713228
University of Wisconsin-Stevens Point,WI,NCAA D3,2024,210,94190,448.5238095238095,0,0.0,3.968639453220951
Casper College,WY,2-Year (JUCO),2024,127,7500,59.05511811023622,1273450,10027.16535433071,6.201821038414539
Central Wyoming College,WY,2-Year (JUCO),2024,138,33960,246.08695652173913,193969,1405.572463768116,25.84343767439501
Eastern Wyoming College,WY,2-Year (JUCO),2024,104,1409,13.548076923076923,870630,8371.442307692309,1.4227852077910421
Laramie County Community College,WY,2-Year (JUCO),2024,159,11208,70.49056603773585,1008359,6341.8805031446545,7.40274322449968
Northwest College,WY,2-Year (JUCO),2024,158,18619,117.84177215189874,509690,3225.8860759493673,12.375448650724488
Northern Wyoming Community College District,WY,Other,2024,127,45542,358.59842519685037,877807,6911.866141732284,inf
Western Wyoming Community College,WY,2-Year (JUCO),2024,103,60125,583.7378640776699,606076,5884.233009708738,61.30269284362927
University of Wyoming,WY,NCAA D1 (FBS),2024,435,1236260,2841.977011494253,10179550,23401.264367816093,0.7898034116297497
Universidad Central de Bayamon,PR,Other,2024,61,0,0.0,172343,2825.2950819672133,
Caribbean University-Bayamon,PR,Other,2024,192,0,0.0,519470,2705.5729166666665,
Pontifical Catholic University of Puerto Rico-Ponce,PR,Other,2024,246,0,0.0,634564,2579.528455284553,
Universidad Ana G. Mendez-Cupey Campus,PR,Other,2024,319,2500,7.836990595611285,1672563,5243.144200626959,inf
Inter American University of Puerto Rico-San German,PR,Other,2024,321,0,0.0,1934719,6027.16199376947,
University of Puerto Rico-Aguadilla,PR,Other,2024,149,0,0.0,174210,1169.1946308724832,
University of Puerto Rico-Arecibo,PR,Other,2024,183,1000,5.46448087431694,238400,1302.7322404371585,inf
University of Puerto Rico-Bayamon,PR,NCAA D2,2024,176,0,0.0,383145,2176.9602272727275,0.0
University of Puerto Rico-Carolina,PR,Other,2024,133,0,0.0,193599,1455.6315789473683,
University of Puerto Rico at Cayey,PR,Other,2024,132,0,0.0,219200,1660.6060606060605,
University of Puerto Rico-Humacao,PR,Other,2024,100,3468,34.68,0,0.0,inf
University of Puerto Rico-Utuado,PR,Other,2024,57,0,0.0,81600,1431.578947368421,
University of Puerto Rico-Mayaguez,PR,NCAA D2,2024,255,990,3.8823529411764706,856412,3358.478431372549,0.03092127866431772
University of Puerto Rico at Ponce,PR,Other,2024,172,0,0.0,275200,1600.0,
University of Puerto Rico-Rio Piedras,PR,NCAA D2,2024,304,0,0.0,436600,1436.1842105263158,0.0
Universidad del Sagrado Corazon,PR,Other,2024,157,0,0.0,499252,3179.9490445859874,
Universidad Politecnica de Puerto Rico,PR,Other,2024,63,0,0.0,230000,3650.7936507936506,
University of the Virgin Islands,VI,NAIA,2024,35,5000,142.85714285714286,297216,8491.885714285714,2.287420520134899
Stanford University,CA,NCAA D1 (FBS),2024,838,2749246,3280.723150357995,39701051,47375.95584725537,0.911733742491845
Purdue University-Main Campus,IN,NCAA D1 (FBS),2024,540,2924097,5414.9944444444445,12831069,23761.23888888889,1.5048612528817464
Mid-America Christian University,OK,NAIA,2024,195,25903,132.83589743589744,1802210,9242.102564102564,2.1269609032378467
Sussex County Community College,NJ,2-Year (JUCO),2024,248,1774,7.153225806451613,97000,391.1290322580645,0.7512139119960853
Collin County Community College District,TX,2-Year (JUCO),2024,71,5194,73.15492957746478,478144,6734.422535211268,7.68254803030552
Southern Union State Community College,AL,2-Year (JUCO),2024,216,9700,44.907407407407405,916778,4244.342592592592,4.716063788409179
St Charles Community College,MO,2-Year (JUCO),2024,117,1398,11.948717948717949,194137,1659.2905982905984,1.254824522035724
New College of Florida,FL,NAIA,2024,153,12820,83.79084967320262,1355725,8860.947712418301,1.341654362594156
Luna Community College,NM,2-Year (JUCO),2024,54,10000,185.1851851851852,86000,1592.5925925925926,19.447685725398678
Paradise Valley Community College,AZ,2-Year (JUCO),2024,177,0,0.0,178492,1008.4293785310734,0.0
Chandler-Gilbert Community College,AZ,2-Year (JUCO),2024,158,0,0.0,129321,818.4873417721519,0.0
Pennsylvania College of Technology,PA,NCAA D3,2024,346,30458,88.02890173410404,0,0.0,0.7788995032762698
Suffolk County Community College,NY,2-Year (JUCO),2024,139,0,0.0,0,0.0,0.0
Las Positas College,CA,2-Year (JUCO),2024,129,0,0.0,0,0.0,0.0
California State University-San Marcos,CA,NCAA D2,2024,302,32773,108.51986754966887,858506,2842.735099337748,0.8643142743486173
NorthWest Arkansas Community College,AR,2-Year (JUCO),2024,24,1200,50.0,17400,725.0,5.250875145857643
Northwest Indian College,WA,Other,2024,44,8000,181.8181818181818,12000,272.72727272727275,inf
Beacon College,FL,Other,2024,35,0,0.0,417295,11922.714285714286,
Estrella Mountain Community College,AZ,2-Year (JUCO),2024,13,0,0.0,6500,500.0,0.0
Heartland Community College,IL,2-Year (JUCO),2024,176,1227,6.971590909090909,1009518,5735.897727272727,0.7321390686326509
College of Biblical Studies-Houston,TX,NCAA D2,2024,26,2000,76.92307692307692,0,0.0,0.6126593674748266
Copper Mountain Community College,CA,2-Year (JUCO),2024,31,0,0.0,0,0.0,0.0
Santiago Canyon College,CA,2-Year (JUCO),2024,119,0,0.0,0,0.0,0.0
Soka University of America,CA,NAIA,2024,143,70209,490.97202797202794,472500,3304.195804195804,7.861416441168237
Frontier Community College,IL,2-Year (JUCO),2024,69,4471,64.79710144927536,280733,4068.5942028985505,6.804829790472325
Lincoln Trail College,IL,2-Year (JUCO),2024,126,1441,11.436507936507937,715873,5681.5317460317465,1.201033505584264
Wabash Valley College,IL,2-Year (JUCO),2024,150,4776,31.84,726906,4846.04,3.343757292882147
Coconino Community College,AZ,2-Year (JUCO),2024,25,140,5.6,2827,113.08,0.588098016336056
Carroll Community College,MD,2-Year (JUCO),2024,70,0,0.0,27814,397.34285714285716,0.0
Florida National University-Main Campus,FL,NAIA,2024,362,0,0.0,3884288,10730.0773480663,0.0
California State University-Monterey Bay,CA,NCAA D2,2024,289,39891,138.03114186851212,932670,3227.2318339100348,1.099358936896879
Leech Lake Tribal College,MN,Other,2024,8,0,0.0,0,0.0,
Pennsylvania Highlands Community College,PA,2-Year (JUCO),2024,40,1562,39.05,0,0.0,4.100933488914819
York County Community College,ME,Other,2024,48,0,0.0,0,0.0,
Arkansas State University-Mountain Home,AR,2-Year (JUCO),2024,51,0,0.0,20469,401.3529411764706,0.0
Florida Gulf Coast University,FL,NCAA D1 (No Football),2024,265,332205,1253.6037735849056,4985128,18811.803773584907,1.602983834110439
Community College of Baltimore County,MD,2-Year (JUCO),2024,259,0,0.0,243799,941.3088803088804,0.0
University of Connecticut-Avery Point,CT,2-Year (JUCO),2024,45,0,0.0,0,0.0,0.0
Baton Rouge Community College,LA,2-Year (JUCO),2024,101,4320,42.772277227722775,209654,2075.7821782178216,4.491837748535647
Arkansas State University-Newport,AR,2-Year (JUCO),2024,30,0,0.0,109315,3643.8333333333335,0.0
Tohono O'odham Community College,AZ,2-Year (JUCO),2024,2,2682,1341.0,0,0.0,140.82847141190197
Folsom Lake College,CA,2-Year (JUCO),2024,179,0,0.0,0,0.0,0.0
University of California-Merced,CA,NAIA,2024,210,15372,73.2,276000,1314.2857142857142,1.1720742745171224
Johnson & Wales University-Charlotte,NC,NCAA D3,2024,179,15444,86.27932960893855,0,0.0,0.763418895971255
Ave Maria University,FL,NAIA,2024,701,26896,38.368045649072755,5484595,7823.958630527817,0.6143469845461309
Community Christian College,AZ,2-Year (JUCO),2024,139,3500,25.179856115107913,0,0.0,2.6443256130218344
Ecclesia College,AR,Other,2024,91,35864,394.1098901098901,344915,3790.2747252747254,inf
Harrisburg University of Science and Technology,PA,Other,2024,8,0,0.0,79818,9977.25,
Georgia Gwinnett College,GA,NAIA,2024,131,10000,76.33587786259542,766080,5847.93893129771,1.2222857741178852
Lemoore College,CA,2-Year (JUCO),2024,119,0,0.0,0,0.0,0.0
Bryant & Stratton College-Wauwatosa,WI,2-Year (JUCO),2024,199,3339,16.77889447236181,1788557,8987.723618090453,1.7620775991978563
Woodland Community College,CA,2-Year (JUCO),2024,49,600,12.244897959183673,0,0.0,1.2859286071488105
University of Fort Lauderdale,FL,Other,2024,244,0,0.0,228000,934.4262295081967,
Texas A&M University-San Antonio,TX,NAIA,2024,130,12411,95.46923076923076,386489,2972.992307692308,1.5286479425212278
Norco College,CA,2-Year (JUCO),2024,52,0,0.0,0,0.0,0.0
Simmons College of Kentucky,KY,Other,2024,30,13304,443.46666666666664,0,0.0,inf
North American University,TX,NAIA,2024,316,6860,21.70886075949367,424996,1344.9240506329113,0.34760105499011984
Ottawa University-Surprise,AZ,NAIA,2024,777,68000,87.51608751608751,9546088,12285.827541827543,1.4013026609835417
Augusta University,GA,NCAA D2,2024,231,23023,99.66666666666667,2034136,8805.78354978355,0.7938023204582171
Middle Georgia State University,GA,NAIA,2024,187,3728,19.93582887700535,570098,3048.652406417112,0.31921136841411946
University of North Georgia,GA,NCAA D2,2024,223,27214,122.03587443946188,1493837,6698.820627802691,0.971963481363135
South Georgia State College,GA,2-Year (JUCO),2024,79,0,0.0,136250,1724.6835443037974,0.0
Central Georgia Technical College,GA,2-Year (JUCO),2024,136,2929,21.53676470588235,461742,3395.1617647058824,2.2617372503260347
